ID,Source,Target,Path
841,C0005586,C0005587,C0005586 -> C0005587 -> C2362914 -> C0525045 -> C0011581 -> C0013415 -> C0010598 -> C0005586
842,C0005586,C2362914,C0005586 -> C0005587 -> C2362914 -> C0525045 -> C0011581 -> C0013415 -> C0010598 -> C0005586
843,C0005586,C0010598,C0005586 -> C0001723 -> C0011581 -> C0013415 -> C0010598 -> C0005586
844,C0005586,C0012706,C0005586 -> C0001723 -> C0011581 -> C0013415 -> C0012706 -> C0525045 -> C0011581 -> C0013415 -> C0010598 -> C0005586
845,C1999871,C0771414,C1999871 -> C0771414 -> C1999871
846,C0010308,C2584703,C0010308 -> C2584703 -> C0010308
847,C0010308,C1578691,C0010308 -> C2584703 -> C1578691 -> C0010308
848,C0010308,C3165526,C0010308 -> C3165526 -> C0010308
849,C0010308,C0342200,C0010308 -> C2584703 -> C0342200 -> C0010308
850,C0342115,C0342205,C0342115 -> C0342205 -> C0342115
851,C0155535,C0375257,C0155535 -> C0375257 -> C0155535
852,C0036117,C0036114,C0036117 -> C0036114 -> C0036117
853,C0222149,C0816233,C0222149 -> C0816233 -> C0222149
854,C0678781,C0678354,C0678781 -> C0678354 -> C0678781
855,C0678354,C0678781,C0678354 -> C0678781 -> C0678354
856,C0154723,C1735856,C0154723 -> C1735856 -> C0154723
857,C0018194,C0162375,C0018194 -> C0162375 -> C0018194
858,C0042487,C0040053,C0042487 -> C0040053 -> C0042373 -> C0042487
859,C0042487,C0155764,C0042487 -> C0042373 -> C0034065 -> C0013922 -> C0013924 -> C0155764 -> C0042373 -> C0042487
860,C0042487,C1096458,C0042487 -> C0040053 -> C1096458 -> C0042373 -> C0042487
861,C0042487,C0178272,C0042487 -> C0042373 -> C0034065 -> C0494584 -> C0524702 -> C0034066 -> C0178272 -> C0042373 -> C0042487
862,C0042487,C0524702,C0042487 -> C0042373 -> C0034065 -> C0494584 -> C0524702 -> C0034065 -> C0042373 -> C0042487
863,C0042487,C0013924,C0042487 -> C0042373 -> C0034065 -> C0013922 -> C0013924 -> C0155764 -> C0042373 -> C0042487
864,C0042487,C0013922,C0042487 -> C0042373 -> C0034065 -> C0013922 -> C0042373 -> C0042487
865,C0042487,C0040038,C0042487 -> C0042373 -> C0034065 -> C0013922 -> C0013924 -> C0040038 -> C0042373 -> C0042487
866,C0042487,C0034065,C0042487 -> C0042373 -> C0034065 -> C0042373 -> C0042487
867,C0042487,C1704213,C0042487 -> C0042373 -> C0034065 -> C1704213 -> C0042373 -> C0042487
868,C0042487,C0034066,C0042487 -> C0042373 -> C0034065 -> C0494584 -> C0524702 -> C0034066 -> C0178272 -> C0042373 -> C0042487
869,C0042487,C0042373,C0042487 -> C0042373 -> C0042487
